Gene	Model mean	Model median	Contig mean	Contig median
Genome	21.61669994802028	19.0	-	-
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	21.08090857893749	21	22.572322684541277	21.0
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	41.812720848056536	46.5	21.145445730764408	20
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	43.53653846153846	49.0	21.65023920248361	21
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	17.661498708010335	16.0	21.65023920248361	21
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	16.97966101694915	16	20.1061219385945	15.0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	69.1589259796807	69.0	18.424609367283647	13.0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	45.48541114058355	45	18.424609367283647	13.0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	19.123510292524376	15.0	18.424609367283647	13.0
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	21.447810520517763	23	21.445134985702982	20.0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	23.37259100642398	23.0	20.135721934639474	19.0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	11.587053571428571	13.0	21.40591666549347	20.0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	34.003407155025556	34.0	21.40591666549347	20.0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	25.944156905475346	25	22.042932521095327	21
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	28.819444444444443	33.0	23.416520828817205	18.0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	25.051980198019802	25.0	18.424609367283647	13.0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	66.44105113636364	66.0	18.424609367283647	13.0
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	23.844036697247706	24	22.572322684541277	21.0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	67.96497695852534	70	21.145445730764408	20
maker-Sm_000030F-snap-gene-1.6-mRNA-1	21.06611570247934	22.0	14.630716850010948	12
Sm_mito_g00002	104.86360612109115	99	90.84065984490432	90.0
Sm_t00000096-RA	16.947516930022573	17.0	22.572322684541277	21.0
Sm_t00000203-RA	15.039771250324929	17	22.572322684541277	21.0
Sm_t00000203-RAa	8.98611111111111	8.0	22.572322684541277	21.0
Sm_t00000203-RAaa	8.569672131147541	8.0	22.572322684541277	21.0
Sm_t00000203-Raac	3.869918699186992	4.0	22.572322684541277	21.0
Sm_t00000271-RA	19.846186262115467	19	22.572322684541277	21.0
Sm_t00000776-RA	29.26127049180328	31.0	22.572322684541277	21.0
Sm_t00000816-RA	21.278830963665087	20.0	22.572322684541277	21.0
Sm_t00001449-RA	23.970214970214972	24	20.863434450326245	20
Sm_t00001545-RA	24.74271440466278	24	20.863434450326245	20
Sm_t00001624-RA	21.007670850767084	21.0	20.863434450326245	20
Sm_t00001766-RA	20.570327552986512	20.0	20.863434450326245	20
Sm_t00002559-RA	20.305084745762713	20	21.613953157759692	21.0
Sm_t00002700-RA	20.60871995528228	20	21.613953157759692	21.0
Sm_t00002911-RA	22.55259026687598	23.0	21.145445730764408	20
Sm_t00003559-RA	19.78485491861288	19.0	20.831411469975937	21.0
Sm_t00003600-RA	20.0475884244373	21	20.831411469975937	21.0
Sm_t00003600-RAa	31.68032786885246	31.0	20.831411469975937	21.0
Sm_t00004040-RA	13.659163987138264	14.0	20.831411469975937	21.0
Sm_t00004185-RA	19.472875226039783	19.0	21.445134985702982	20.0
Sm_t00004482-RA	26.604040404040404	27.0	21.445134985702982	20.0
Sm_t00004508-RA	23.553329404832056	25	21.445134985702982	20.0
Sm_t00004732-RA	8.204284621270084	7	23.097462646723933	20
Sm_t00004754-RA	24.217875647668393	25.0	23.097462646723933	20
Sm_t00005069-RA	23.02765726681128	22.0	23.097462646723933	20
Sm_t00005265-RA	29.93747943402435	27	19.886170350767955	19.0
Sm_t00005368-RA	20.114189756507137	20	19.886170350767955	19.0
Sm_t00005717-RA	50.37339648707322	24	19.886170350767955	19.0
Sm_t00006068-RA	27.72898295120517	27	20.135721934639474	19.0
Sm_t00007019-RA	20.49485623845951	20	18.415361883541674	17
Sm_t00007046-RA	22.82101167315175	23.0	18.415361883541674	17
Sm_t00007131-RA	24.56935908691835	23.0	18.415361883541674	17
Sm_t00007630-RA	23.152281473337	23	20.24085276443855	20
Sm_t00007701-RA	19.23997185080929	21.0	20.24085276443855	20
Sm_t00007798-RA	25.35303959843837	25.0	21.657442047207645	20
Sm_t00007834-RA	22.945686900958467	26	21.657442047207645	20
Sm_t00007866-RAa	25.855474452554745	25	21.657442047207645	20
Sm_t00008820-RA	24.264101212440696	24.0	21.348436186493654	19
Sm_t00008887-RA	22.66816479400749	23	21.348436186493654	19
Sm_t00009095-RA	20.559300873907617	21	19.625452972899954	20
Sm_t00009272-RA	23.2825361512792	24.0	19.625452972899954	20
Sm_t00009273-RA	23.969323308270678	24	19.625452972899954	20
Sm_t00009617-RA	19.39501312335958	20.0	21.01055463605815	20.0
Sm_t00009882-RA	28.256771697070203	28.0	21.599886018822296	20.0
Sm_t00010479-RA	24.530793876824493	24	21.65023920248361	21
Sm_t00010759-RA	22.906859205776172	23	23.152812035336307	20.0
Sm_t00011072-RA	24.445484323818437	23	22.34408704408145	20.0
Sm_t00011279-RA	11.324797843665769	11.0	21.099479462326315	20
Sm_t00011280-RA	9.125574272588056	9	21.099479462326315	20
Sm_t00011281-RA	11.066761363636363	12.0	21.099479462326315	20
Sm_t00011290-RA	23.040826128722383	22.0	21.099479462326315	20
Sm_t00011531-RA	23.232656514382402	23.0	21.099479462326315	20
Sm_t00012102-RA	21.539434523809526	21.0	23.35997904064467	19.0
Sm_t00012258-RA	25.640677966101695	25.0	14.630716850010948	12
Sm_t00012279-RA	11.95841584158416	9	14.630716850010948	12
Sm_t00012684-RA	37.10580645161291	37	22.042932521095327	21
Sm_t00013038-RA	22.187697715289982	23	20.20539227662724	20.0
Sm_t00013427-RA	19.11972437553833	19	21.49575309882943	20
Sm_t00013510-RA	14.764150943396226	14.0	21.49575309882943	20
Sm_t00014412-RA	21.660493827160494	22.0	16.760535187804912	16.0
Sm_t00014438-RA	10.361040068201193	11.0	16.760535187804912	16.0
Sm_t00014498-RA	23.279310344827586	22.0	19.92848295805657	19.0
