Gene	Model mean	Model median	Contig mean	Contig median
Genome	96.53907529241194	91.0	-	-
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	98.47287403792004	98	97.1691062053762	96.0
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	100.52650176678445	100.0	94.54154386258202	94
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	82.70384615384616	85.0	93.4991868722362	94
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	47.46640826873385	42.5	93.4991868722362	94
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	62.74576271186441	64	90.91882440865656	74.0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	322.01959361393324	288.0	83.9351381782984	67.0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	168.56940760389037	190	83.9351381782984	67.0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	112.22751895991333	119.0	83.9351381782984	67.0
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	94.84825117047646	97	91.14996308488931	94.0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	88.8490364025696	90.0	89.80049227540472	92.0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	106.50223214285714	124.0	94.98877485417165	94.0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	97.24020442930153	96.0	94.98877485417165	94.0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	101.10569327158812	106	98.46687296250701	96
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	113.90046296296296	129.0	98.57386180387762	88.0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	137.21658415841586	135.5	83.9351381782984	67.0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	281.484375	252.0	83.9351381782984	67.0
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	94.42711518858307	96	97.1691062053762	96.0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	92.43963133640553	87	94.54154386258202	94
maker-Sm_000030F-snap-gene-1.6-mRNA-1	105.47796143250689	110.0	67.79791491495253	58
Sm_mito_g00002	744.0725216234198	744	531.134378011288	524.0
Sm_t00000096-RA	89.95541760722348	93.0	97.1691062053762	96.0
Sm_t00000203-RA	61.551858591109955	70	97.1691062053762	96.0
Sm_t00000203-RAa	27.36284722222222	29.5	97.1691062053762	96.0
Sm_t00000203-RAaa	16.506147540983605	17.0	97.1691062053762	96.0
Sm_t00000203-Raac	25.351626016260163	25.5	97.1691062053762	96.0
Sm_t00000271-RA	104.17741255794353	103	97.1691062053762	96.0
Sm_t00000776-RA	97.53176229508196	107.5	97.1691062053762	96.0
Sm_t00000816-RA	100.61848341232228	101.0	97.1691062053762	96.0
Sm_t00001449-RA	105.67443667443668	106	92.3080492225225	94
Sm_t00001545-RA	101.4571190674438	101	92.3080492225225	94
Sm_t00001624-RA	106.86750348675035	113.0	92.3080492225225	94
Sm_t00001766-RA	93.44219653179191	94.0	92.3080492225225	94
Sm_t00002559-RA	85.77401129943503	87	96.50616907959066	96.0
Sm_t00002700-RA	85.46506428172164	88	96.50616907959066	96.0
Sm_t00002911-RA	99.35007849293564	101.0	94.54154386258202	94
Sm_t00003559-RA	99.81740976645435	100.0	90.59531403901714	97.0
Sm_t00003600-RA	83.1935691318328	95	90.59531403901714	97.0
Sm_t00003600-RAa	124.42281420765028	123.0	90.59531403901714	97.0
Sm_t00004040-RA	0.46141479099678456	0.0	90.59531403901714	97.0
Sm_t00004185-RA	98.63019891500905	102.0	91.14996308488931	94.0
Sm_t00004482-RA	103.13636363636364	100.0	91.14996308488931	94.0
Sm_t00004508-RA	103.4655274012964	111	91.14996308488931	94.0
Sm_t00004732-RA	41.43458301453711	44	96.50059836670405	95
Sm_t00004754-RA	102.95544041450778	102.0	96.50059836670405	95
Sm_t00005069-RA	101.6529284164859	104.0	96.50059836670405	95
Sm_t00005265-RA	122.89042448173741	117	88.39739972498963	93.0
Sm_t00005368-RA	98.7615449202351	103	88.39739972498963	93.0
Sm_t00005717-RA	232.70988750740082	115	88.39739972498963	93.0
Sm_t00006068-RA	83.21399176954732	85	89.80049227540472	92.0
Sm_t00007019-RA	100.6444209970984	99	81.79644307186558	82
Sm_t00007046-RA	94.20038910505836	93.0	81.79644307186558	82
Sm_t00007131-RA	104.11106233538192	105.0	81.79644307186558	82
Sm_t00007630-RA	100.87465640461792	103	91.11929006211297	92
Sm_t00007701-RA	106.6813863476425	96.0	91.11929006211297	92
Sm_t00007798-RA	113.15170105967653	112.0	92.33525659678371	95
Sm_t00007834-RA	85.97231096911608	92	92.33525659678371	95
Sm_t00007866-RAa	86.39562043795621	85	92.33525659678371	95
Sm_t00008820-RA	110.09462308908803	111.0	91.18106658811075	93
Sm_t00008887-RA	115.81498127340824	118	91.18106658811075	93
Sm_t00009095-RA	102.12734082397004	110	87.0876903002121	93
Sm_t00009272-RA	104.96829810901001	109.0	87.0876903002121	93
Sm_t00009273-RA	110.02586466165414	109	87.0876903002121	93
Sm_t00009617-RA	89.6907261592301	93.0	92.18734246143485	95.0
Sm_t00009882-RA	109.51824212271974	110.0	90.97236264497944	91.0
Sm_t00010479-RA	93.70665717337131	94	93.4991868722362	94
Sm_t00010759-RA	86.7768953068592	89	98.2809436343417	93.0
Sm_t00011072-RA	98.54656059897052	98	94.36005817856343	92.0
Sm_t00011279-RA	52.127583108715186	44.0	89.64075286652319	93
Sm_t00011280-RA	43.58141909137315	41	89.64075286652319	93
