Gene	Model mean	Model median	Contig mean	Contig median
Genome	0.6834411830717295	0.0	-	-
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	0.9068894311995495	0	0.6690286848558854	0.0
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	1.7190812720848057	2.0	0.6333051921817752	0
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	1.1134615384615385	1.0	0.6551315000537011	0
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	0	0.0	0.6551315000537011	0
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	1.0124293785310734	1	0.6311715201321398	0.0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	1.8947750362844702	2.0	0.6865456413092863	0.0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	1.3890362511052166	1	0.6865456413092863	0.0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	0.8602383531960996	1.0	0.6865456413092863	0.0
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	0.7042137152299642	1	0.6623337854376786	0.0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	0.8875802997858673	1.0	0.7128331352667877	0.0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	0.9918154761904762	1.0	0.5788165261177045	0.0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	0.8194207836456558	1.0	0.5788165261177045	0.0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	0.46499591391991285	0	0.6391943010566645	0
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	0.8194444444444444	1.0	0.8208494371804564	0.0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	1.4108910891089108	2.0	0.6865456413092863	0.0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	2.6058238636363638	2.0	0.6865456413092863	0.0
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	0.7363234794427455	1	0.6690286848558854	0.0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	1.1981566820276497	1	0.6333051921817752	0
maker-Sm_000030F-snap-gene-1.6-mRNA-1	0.39462809917355374	0.0	0.4575397447474487	0
Sm_mito_g00002	5.3699268130405855	5	3.4456017987427154	3.0
Sm_t00000096-RA	0.5632054176072234	0.0	0.6690286848558854	0.0
Sm_t00000203-RA	0.37249805042890566	0	0.6690286848558854	0.0
Sm_t00000203-RAa	0.19444444444444445	0.0	0.6690286848558854	0.0
Sm_t00000203-RAaa	0	0.0	0.6690286848558854	0.0
Sm_t00000203-Raac	0.5548780487804879	1.0	0.6690286848558854	0.0
Sm_t00000271-RA	0.42646439106616096	0	0.6690286848558854	0.0
Sm_t00000776-RA	0.7889344262295082	0.0	0.6690286848558854	0.0
Sm_t00000816-RA	0.2539494470774092	0.0	0.6690286848558854	0.0
Sm_t00001449-RA	0.7904687904687905	1	0.597975022808809	0
Sm_t00001545-RA	0.6788787121842909	1	0.597975022808809	0
Sm_t00001624-RA	0.699442119944212	0.0	0.597975022808809	0
Sm_t00001766-RA	0.40366088631984587	0.0	0.597975022808809	0
Sm_t00002559-RA	0.4632768361581921	0	0.710420803465549	0.0
Sm_t00002700-RA	0.3208496366685299	0	0.710420803465549	0.0
Sm_t00002911-RA	0.1640502354788069	0.0	0.6333051921817752	0
Sm_t00003559-RA	0.9575371549893843	1.0	0.727739985214467	0.0
Sm_t00003600-RA	0.18456591639871384	0	0.727739985214467	0.0
Sm_t00003600-RAa	0.60724043715847	0.0	0.727739985214467	0.0
Sm_t00004040-RA	1.0313504823151125	1.0	0.727739985214467	0.0
Sm_t00004185-RA	1.1491862567811935	1.0	0.6623337854376786	0.0
Sm_t00004482-RA	0.9151515151515152	0.0	0.6623337854376786	0.0
Sm_t00004508-RA	0.5839717147908073	0	0.6623337854376786	0.0
Sm_t00004732-RA	0	0	0.6323782670307513	0
Sm_t00004754-RA	0.827979274611399	1.0	0.6323782670307513	0
Sm_t00005069-RA	0.7613882863340564	1.0	0.6323782670307513	0
Sm_t00005265-RA	0.9720302731161566	0	0.5823279887920298	0.0
Sm_t00005368-RA	0.4819479429051218	0	0.5823279887920298	0.0
Sm_t00005717-RA	1.610420367081113	1	0.5823279887920298	0.0
Sm_t00006068-RA	1.0781893004115226	1	0.7128331352667877	0.0
Sm_t00007019-RA	0.4051701398048008	0	0.5380835711321735	0
Sm_t00007046-RA	0.38197146562905315	0.0	0.5380835711321735	0
